MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.145508	Sec	6/3/2021 9:18:50 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.22307433	-26.109282	0.37011719
-0.22307433	-26.105017	0.37109375
-0.22307433	-26.105017	0.37207031
-0.20820272	-26.105017	0.37304688
-0.20820272	-26.109282	0.37402344
-0.17845948	-26.113544	0.375
-0.20820272	-26.109282	0.37597656
-0.19333109	-26.109282	0.37695313
-0.20820272	-26.109282	0.37792969
-0.19333109	-26.105017	0.37890625
-0.20820272	-26.109282	0.37988281
-0.19333109	-26.105017	0.38085938
-0.20820272	-26.105017	0.38183594
-0.20820272	-26.109282	0.3828125
-0.20820272	-26.109282	0.38378906
-0.20820272	-26.105017	0.38476563
-0.20820272	-26.109282	0.38574219
-0.20820272	-26.105017	0.38671875
-0.22307433	-26.109282	0.38769531
-0.20820272	-26.105017	0.38867188
-0.22307433	-26.109282	0.38964844
-0.20820272	-26.109282	0.390625
-0.19333109	-26.113544	0.39160156
-0.19333109	-26.105017	0.39257813
-0.20820272	-26.109282	0.39355469
-0.19333109	-26.105017	0.39453125
-0.20820272	-26.109282	0.39550781
-0.19333109	-26.109282	0.39648438
-0.19333109	-26.109282	0.39746094
-0.20820272	-26.113544	0.3984375
-0.19333109	-26.105017	0.39941406
-0.22307433	-26.105017	0.40039063
-0.19333109	-26.105017	0.40136719
-0.20820272	-26.109282	0.40234375
-0.20820272	-26.109282	0.40332031
-0.23794594	-26.109282	0.40429688
-0.19333109	-26.109282	0.40527344
-0.20820272	-26.105017	0.40625
-0.20820272	-26.109282	0.40722656
-0.19333109	-26.105017	0.40820313
-0.17845948	-26.109282	0.40917969
-0.20820272	-26.113544	0.41015625
-0.19333109	-26.109282	0.41113281
-0.19333109	-26.105017	0.41210938
-0.19333109	-26.109282	0.41308594
-0.17845948	-26.109282	0.4140625
-0.22307433	-26.113544	0.41503906
-0.20820272	-26.109282	0.41601563
-0.19333109	-26.105017	0.41699219
-0.22307433	-26.109282	0.41796875
-0.19333109	-26.109282	0.41894531
-0.20820272	-26.109282	0.41992188
-0.20820272	-26.105017	0.42089844
-0.22307433	-26.105017	0.421875
-0.23794594	-26.105017	0.42285156
-0.20820272	-26.113544	0.42382813
-0.20820272	-26.109282	0.42480469
-0.20820272	-26.105017	0.42578125
-0.20820272	-26.105017	0.42675781
-0.20820272	-26.105017	0.42773438
-0.20820272	-26.109282	0.42871094
-0.22307433	-26.109282	0.4296875
-0.22307433	-26.109282	0.43066406
-0.20820272	-26.109282	0.43164063
-0.22307433	-26.113544	0.43261719
-0.20820272	-26.105017	0.43359375
-0.20820272	-26.109282	0.43457031
-0.23794594	-26.100754	0.43554688
-0.23794594	-26.109282	0.43652344
-0.23794594	-26.109282	0.4375
-0.23794594	-26.113544	0.43847656
-0.22307433	-26.109282	0.43945313
-0.22307433	-26.109282	0.44042969
-0.22307433	-26.105017	0.44140625
-0.22307433	-26.105017	0.44238281
-0.22307433	-26.105017	0.44335938
-0.22307433	-26.109282	0.44433594
-0.22307433	-26.109282	0.4453125
-0.23794594	-26.109282	0.44628906
-0.23794594	-26.113544	0.44726563
-0.25281757	-26.113544	0.44824219
-0.26768917	-26.113544	0.44921875
-0.25281757	-26.109282	0.45019531
-0.22307433	-26.113544	0.45117188
-0.25281757	-26.109282	0.45214844
-0.23794594	-26.113544	0.453125
-0.26768917	-26.109282	0.45410156
-0.25281757	-26.109282	0.45507813
-0.25281757	-26.117807	0.45605469
-0.25281757	-26.113544	0.45703125
-0.25281757	-26.109282	0.45800781
-0.25281757	-26.117807	0.45898438
-0.25281757	-26.109282	0.45996094
-0.26768917	-26.113544	0.4609375
-0.26768917	-26.117807	0.46191406
-0.2825608	-26.113544	0.46289063
-0.2825608	-26.113544	0.46386719
-0.29743242	-26.113544	0.46484375
-0.29743242	-26.117807	0.46582031
-0.2825608	-26.117807	0.46679688
-0.31230402	-26.113544	0.46777344
-0.31230402	-26.113544	0.46875
-0.29743242	-26.113544	0.46972656
-0.32717565	-26.113544	0.47070313
-0.32717565	-26.117807	0.47167969
-0.34204724	-26.12207	0.47265625
-0.32717565	-26.113544	0.47363281
-0.35691887	-26.117807	0.47460938
-0.34204724	-26.12207	0.47558594
-0.35691887	-26.117807	0.4765625
-0.35691887	-26.117807	0.47753906
-0.35691887	-26.113544	0.47851563
-0.3717905	-26.117807	0.47949219
-0.3866621	-26.126335	0.48046875
-0.40153372	-26.117807	0.48144531
-0.40153372	-26.12207	0.48242188
-0.40153372	-26.12207	0.48339844
-0.43127695	-26.117807	0.484375
-0.41640532	-26.12207	0.48535156
-0.43127695	-26.12207	0.48632813
-0.44614857	-26.117807	0.48730469
-0.46102017	-26.12207	0.48828125
-0.4758918	-26.12207	0.48925781
-0.4758918	-26.12207	0.49023438
-0.4758918	-26.117807	0.49121094
-0.50563502	-26.12207	0.4921875
-0.50563502	-26.126335	0.49316406
-0.52050662	-26.126335	0.49414063
-0.53537828	-26.12207	0.49511719
-0.56512147	-26.126335	0.49609375
-0.55024987	-26.117807	0.49707031
-0.57999313	-26.126335	0.49804688
-0.60973632	-26.12207	0.49902344
-0.63947958	-26.126335	0.5
-0.65435117	-26.126335	0.50097656
-0.65435117	-26.126335	0.50195313
-0.66922277	-26.130598	0.50292969
-0.68409443	-26.126335	0.50390625
-0.71383762	-26.126335	0.50488281
-0.74358088	-26.126335	0.50585938
-0.72870928	-26.126335	0.50683594
-0.75845248	-26.126335	0.5078125
-0.78819573	-26.126335	0.50878906
-0.81793898	-26.126335	0.50976563
-0.83281058	-26.130598	0.51074219
-0.84768218	-26.126335	0.51171875
-0.87742543	-26.126335	0.51269531
-0.90716863	-26.130598	0.51367188
-0.93691188	-26.130598	0.51464844
-0.93691188	-26.126335	0.515625
-0.96665514	-26.130598	0.51660156
-0.99639833	-26.126335	0.51757813
-1.0261415	-26.134861	0.51855469
-1.0410132	-26.130598	0.51953125
-1.0707564	-26.130598	0.52050781
-1.1004996	-26.130598	0.52148438
-1.1153712	-26.126335	0.52246094
-1.1153712	-26.130598	0.5234375
-1.1599861	-26.126335	0.52441406
-1.1748577	-26.130598	0.52539063
-1.1897293	-26.126335	0.52636719
-1.2194725	-26.126335	0.52734375
-1.2492158	-26.130598	0.52832031
-1.2492158	-26.130598	0.52929688
-1.278959	-26.134861	0.53027344
-1.3087022	-26.130598	0.53125
-1.2938306	-26.130598	0.53222656
-1.3384455	-26.130598	0.53320313
-1.3681887	-26.130598	0.53417969
-1.3830603	-26.126335	0.53515625
-1.3979319	-26.130598	0.53613281
-1.3979319	-26.130598	0.53710938
-1.4425468	-26.134861	0.53808594
-1.4425468	-26.130598	0.5390625
-1.4574184	-26.134861	0.54003906
-1.47229	-26.134861	0.54101563
-1.5020332	-26.134861	0.54199219
-1.5317765	-26.130598	0.54296875
-1.5317765	-26.134861	0.54394531
-1.5317765	-26.130598	0.54492188
-1.5615197	-26.134861	0.54589844
-1.5615197	-26.130598	0.546875
-1.5912629	-26.130598	0.54785156
-1.5912629	-26.134861	0.54882813
-1.6210063	-26.134861	0.54980469
-1.6358778	-26.134861	0.55078125
-1.6358778	-26.134861	0.55175781
-1.6804926	-26.134861	0.55273438
-1.6953642	-26.139124	0.55371094
-1.710236	-26.130598	0.5546875
-1.710236	-26.134861	0.55566406
-1.7251076	-26.130598	0.55664063
-1.7251076	-26.134861	0.55761719
-1.7399791	-26.139124	0.55859375
-1.7548507	-26.134861	0.55957031
-1.7251076	-26.134861	0.56054688
-1.7548507	-26.134861	0.56152344
-1.7994655	-26.139124	0.5625
-1.7994655	-26.134861	0.56347656
-1.7994655	-26.134861	0.56445313
-1.8292089	-26.134861	0.56542969
-1.8292089	-26.134861	0.56640625
-1.8440804	-26.134861	0.56738281
-1.8738236	-26.134861	0.56835938
-1.8440804	-26.134861	0.56933594
-1.8886952	-26.143389	0.5703125
-1.8886952	-26.134861	0.57128906
-1.8886952	-26.139124	0.57226563
-1.9184386	-26.134861	0.57324219
