MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8771973	Sec	5/17/2022 11:45:10 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-170.79471	-13.318974	23.262695
-170.7618	-13.318974	23.263672
-170.79471	-13.323236	23.264648
-170.77824	-13.318974	23.265625
-170.74533	-13.31471	23.266602
-170.74533	-13.318974	23.267578
-170.72887	-13.323236	23.268555
-170.7124	-13.318974	23.269531
-170.7124	-13.318974	23.270508
-170.69595	-13.31471	23.271484
-170.66302	-13.318974	23.272461
-170.66302	-13.31471	23.273438
-170.66302	-13.318974	23.274414
-170.64656	-13.318974	23.275391
-170.63011	-13.31471	23.276367
-170.64656	-13.323236	23.277344
-170.63011	-13.318974	23.27832
-170.59718	-13.318974	23.279297
-170.58072	-13.318974	23.280273
-170.58072	-13.318974	23.28125
-170.56427	-13.31471	23.282227
-170.56427	-13.31471	23.283203
-170.54781	-13.318974	23.28418
-170.53134	-13.318974	23.285156
-170.51488	-13.318974	23.286133
-170.51488	-13.323236	23.287109
-170.53134	-13.318974	23.288086
-170.53134	-13.31471	23.289063
-170.49843	-13.31471	23.290039
-170.51488	-13.318974	23.291016
-170.53134	-13.323236	23.291992
-170.48196	-13.3275	23.292969
-170.49843	-13.318974	23.293945
-170.48196	-13.323236	23.294922
-170.48196	-13.318974	23.295898
-170.44904	-13.31471	23.296875
-170.43259	-13.318974	23.297852
-170.41612	-13.31471	23.298828
-170.39966	-13.318974	23.299805
-170.39966	-13.323236	23.300781
-170.36674	-13.318974	23.301758
-170.36674	-13.318974	23.302734
-170.38319	-13.318974	23.303711
-170.36674	-13.318974	23.304688
-170.35028	-13.318974	23.305664
-170.35028	-13.31471	23.306641
-170.35028	-13.318974	23.307617
-170.33382	-13.318974	23.308594
-170.36674	-13.318974	23.30957
-170.33382	-13.318974	23.310547
-170.33382	-13.31471	23.311523
-170.30089	-13.31471	23.3125
-170.30089	-13.31471	23.313477
-170.26797	-13.323236	23.314453
-170.26797	-13.31471	23.31543
-170.23505	-13.318974	23.316406
-170.23505	-13.323236	23.317383
-170.23505	-13.323236	23.318359
-170.20213	-13.318974	23.319336
-170.2186	-13.318974	23.320313
-170.20213	-13.318974	23.321289
-170.18567	-13.31471	23.322266
-170.1692	-13.318974	23.323242
-170.15276	-13.31471	23.324219
-170.1692	-13.31471	23.325195
-170.15276	-13.318974	23.326172
-170.15276	-13.318974	23.327148
-170.15276	-13.318974	23.328125
-170.13629	-13.318974	23.329102
-170.11983	-13.318974	23.330078
-170.11983	-13.318974	23.331055
-170.10336	-13.318974	23.332031
-170.08691	-13.318974	23.333008
-170.08691	-13.318974	23.333984
-170.05399	-13.318974	23.334961
-170.02107	-13.323236	23.335938
-170.02107	-13.318974	23.336914
-170.03752	-13.318974	23.337891
-170.02107	-13.318974	23.338867
-170.02107	-13.318974	23.339844
-170.00461	-13.318974	23.34082
-170.00461	-13.318974	23.341797
-169.98814	-13.318974	23.342773
-169.97168	-13.318974	23.34375
-169.97168	-13.31471	23.344727
-169.95523	-13.318974	23.345703
-169.95523	-13.31471	23.34668
-169.93877	-13.31471	23.347656
-169.93877	-13.323236	23.348633
-169.9223	-13.31471	23.349609
-169.90584	-13.31471	23.350586
-169.9223	-13.31471	23.351563
-169.9223	-13.323236	23.352539
-169.90584	-13.310447	23.353516
-169.88939	-13.318974	23.354492
-169.87292	-13.318974	23.355469
-169.85646	-13.31471	23.356445
-169.85646	-13.31471	23.357422
-169.85646	-13.323236	23.358398
-169.85646	-13.323236	23.359375
-169.82353	-13.318974	23.360352
-169.82353	-13.318974	23.361328
-169.80708	-13.31471	23.362305
-169.79062	-13.323236	23.363281
-169.79062	-13.318974	23.364258
-169.75769	-13.318974	23.365234
-169.75769	-13.318974	23.366211
-169.77415	-13.31471	23.367188
-169.72478	-13.31471	23.368164
-169.72478	-13.310447	23.369141
-169.72478	-13.31471	23.370117
-169.72478	-13.318974	23.371094
-169.70831	-13.318974	23.37207
-169.69185	-13.318974	23.373047
-169.6754	-13.323236	23.374023
-169.65894	-13.323236	23.375
-169.65894	-13.31471	23.375977
-169.65894	-13.31471	23.376953
-169.6754	-13.318974	23.37793
-169.65894	-13.318974	23.378906
-169.65894	-13.318974	23.379883
-169.62601	-13.31471	23.380859
-169.60956	-13.318974	23.381836
-169.59309	-13.318974	23.382813
-169.57663	-13.318974	23.383789
-169.54372	-13.31471	23.384766
-169.54372	-13.318974	23.385742
-169.54372	-13.323236	23.386719
-169.54372	-13.31471	23.387695
-169.52725	-13.318974	23.388672
-169.54372	-13.318974	23.389648
-169.49432	-13.318974	23.390625
-169.51079	-13.31471	23.391602
-169.51079	-13.318974	23.392578
-169.49432	-13.318974	23.393555
-169.44495	-13.318974	23.394531
-169.49432	-13.318974	23.395508
-169.46141	-13.31471	23.396484
-169.44495	-13.31471	23.397461
-169.42848	-13.318974	23.398438
-169.41203	-13.318974	23.399414
-169.3791	-13.323236	23.400391
-169.3791	-13.318974	23.401367
-169.36264	-13.318974	23.402344
-169.34618	-13.318974	23.40332
-169.32973	-13.31471	23.404297
-169.32973	-13.318974	23.405273
-169.32973	-13.31471	23.40625
-169.28033	-13.318974	23.407227
