MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8647461	Sec	6/3/2021 9:10:00 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.19333109	-26.109282	0.090087891
-0.19333109	-26.109282	0.091064453
-0.20820272	-26.113544	0.092041016
-0.19333109	-26.105017	0.093017578
-0.19333109	-26.109282	0.093994141
-0.19333109	-26.109282	0.094970703
-0.19333109	-26.105017	0.095947266
-0.19333109	-26.105017	0.096923828
-0.19333109	-26.113544	0.097900391
-0.19333109	-26.109282	0.098876953
-0.20820272	-26.109282	0.099853516
-0.20820272	-26.105017	0.10083008
-0.20820272	-26.105017	0.10180664
-0.17845948	-26.105017	0.1027832
-0.20820272	-26.109282	0.10375977
-0.19333109	-26.109282	0.10473633
-0.19333109	-26.105017	0.10571289
-0.19333109	-26.105017	0.10668945
-0.19333109	-26.113544	0.10766602
-0.19333109	-26.109282	0.10864258
-0.19333109	-26.105017	0.10961914
-0.19333109	-26.109282	0.1105957
-0.19333109	-26.109282	0.11157227
-0.20820272	-26.109282	0.11254883
-0.20820272	-26.109282	0.11352539
-0.20820272	-26.109282	0.11450195
-0.20820272	-26.109282	0.11547852
-0.22307433	-26.105017	0.11645508
-0.23794594	-26.105017	0.11743164
-0.20820272	-26.105017	0.1184082
-0.20820272	-26.109282	0.11938477
-0.20820272	-26.105017	0.12036133
-0.19333109	-26.109282	0.12133789
-0.17845948	-26.105017	0.12231445
-0.19333109	-26.109282	0.12329102
-0.17845948	-26.109282	0.12426758
-0.20820272	-26.109282	0.12524414
-0.19333109	-26.105017	0.1262207
-0.19333109	-26.105017	0.12719727
-0.20820272	-26.105017	0.12817383
-0.20820272	-26.109282	0.12915039
-0.19333109	-26.109282	0.13012695
-0.19333109	-26.105017	0.13110352
-0.20820272	-26.109282	0.13208008
-0.20820272	-26.109282	0.13305664
-0.20820272	-26.109282	0.1340332
-0.22307433	-26.109282	0.13500977
-0.20820272	-26.109282	0.13598633
-0.20820272	-26.100754	0.13696289
-0.19333109	-26.109282	0.13793945
-0.20820272	-26.105017	0.13891602
-0.17845948	-26.109282	0.13989258
-0.22307433	-26.109282	0.14086914
-0.19333109	-26.109282	0.1418457
-0.20820272	-26.109282	0.14282227
-0.20820272	-26.105017	0.14379883
-0.20820272	-26.109282	0.14477539
-0.22307433	-26.113544	0.14575195
-0.22307433	-26.109282	0.14672852
-0.23794594	-26.109282	0.14770508
-0.22307433	-26.105017	0.14868164
-0.22307433	-26.113544	0.1496582
-0.23794594	-26.109282	0.15063477
-0.20820272	-26.105017	0.15161133
-0.22307433	-26.105017	0.15258789
-0.20820272	-26.105017	0.15356445
-0.20820272	-26.109282	0.15454102
-0.20820272	-26.109282	0.15551758
-0.20820272	-26.109282	0.15649414
-0.20820272	-26.109282	0.1574707
-0.22307433	-26.109282	0.15844727
-0.22307433	-26.105017	0.15942383
-0.20820272	-26.109282	0.16040039
-0.22307433	-26.113544	0.16137695
-0.23794594	-26.113544	0.16235352
-0.22307433	-26.109282	0.16333008
-0.23794594	-26.105017	0.16430664
-0.25281757	-26.105017	0.1652832
-0.23794594	-26.105017	0.16625977
-0.25281757	-26.109282	0.16723633
-0.23794594	-26.105017	0.16821289
-0.25281757	-26.109282	0.16918945
-0.22307433	-26.105017	0.17016602
-0.23794594	-26.109282	0.17114258
-0.22307433	-26.113544	0.17211914
-0.23794594	-26.109282	0.1730957
-0.22307433	-26.109282	0.17407227
-0.23794594	-26.105017	0.17504883
-0.23794594	-26.113544	0.17602539
-0.23794594	-26.105017	0.17700195
-0.25281757	-26.109282	0.17797852
-0.26768917	-26.113544	0.17895508
-0.25281757	-26.109282	0.17993164
-0.23794594	-26.113544	0.1809082
-0.25281757	-26.113544	0.18188477
-0.25281757	-26.113544	0.18286133
-0.2825608	-26.109282	0.18383789
-0.2825608	-26.109282	0.18481445
-0.26768917	-26.109282	0.18579102
-0.26768917	-26.113544	0.18676758
-0.25281757	-26.109282	0.18774414
-0.26768917	-26.113544	0.1887207
-0.26768917	-26.113544	0.18969727
-0.2825608	-26.113544	0.19067383
-0.26768917	-26.117807	0.19165039
-0.29743242	-26.113544	0.19262695
