MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.157715	Sec	6/3/2021 9:02:54 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.17845948	-26.105017	0.38330078
-0.20820272	-26.109282	0.38427734
-0.19333109	-26.105017	0.38525391
-0.19333109	-26.100754	0.38623047
-0.19333109	-26.105017	0.38720703
-0.19333109	-26.109282	0.38818359
-0.19333109	-26.105017	0.38916016
-0.19333109	-26.109282	0.39013672
-0.19333109	-26.105017	0.39111328
-0.17845948	-26.105017	0.39208984
-0.19333109	-26.100754	0.39306641
-0.22307433	-26.105017	0.39404297
-0.20820272	-26.105017	0.39501953
-0.19333109	-26.105017	0.39599609
-0.19333109	-26.109282	0.39697266
-0.19333109	-26.105017	0.39794922
-0.17845948	-26.100754	0.39892578
-0.20820272	-26.105017	0.39990234
-0.19333109	-26.105017	0.40087891
-0.19333109	-26.105017	0.40185547
-0.17845948	-26.105017	0.40283203
-0.19333109	-26.109282	0.40380859
-0.19333109	-26.100754	0.40478516
-0.20820272	-26.109282	0.40576172
-0.20820272	-26.105017	0.40673828
-0.19333109	-26.109282	0.40771484
-0.20820272	-26.105017	0.40869141
-0.20820272	-26.109282	0.40966797
-0.22307433	-26.109282	0.41064453
-0.20820272	-26.105017	0.41162109
-0.22307433	-26.109282	0.41259766
-0.22307433	-26.105017	0.41357422
-0.20820272	-26.105017	0.41455078
-0.19333109	-26.100754	0.41552734
-0.20820272	-26.105017	0.41650391
-0.20820272	-26.105017	0.41748047
-0.16358787	-26.105017	0.41845703
-0.20820272	-26.100754	0.41943359
-0.20820272	-26.105017	0.42041016
-0.20820272	-26.105017	0.42138672
-0.20820272	-26.109282	0.42236328
-0.20820272	-26.105017	0.42333984
-0.22307433	-26.105017	0.42431641
-0.19333109	-26.109282	0.42529297
-0.22307433	-26.105017	0.42626953
-0.19333109	-26.105017	0.42724609
-0.20820272	-26.105017	0.42822266
-0.20820272	-26.109282	0.42919922
-0.20820272	-26.100754	0.43017578
-0.19333109	-26.105017	0.43115234
-0.19333109	-26.109282	0.43212891
-0.20820272	-26.109282	0.43310547
-0.22307433	-26.109282	0.43408203
-0.17845948	-26.105017	0.43505859
-0.20820272	-26.100754	0.43603516
-0.20820272	-26.105017	0.43701172
-0.19333109	-26.105017	0.43798828
-0.22307433	-26.100754	0.43896484
-0.19333109	-26.109282	0.43994141
-0.20820272	-26.109282	0.44091797
-0.19333109	-26.109282	0.44189453
-0.20820272	-26.105017	0.44287109
-0.22307433	-26.109282	0.44384766
-0.22307433	-26.109282	0.44482422
-0.22307433	-26.100754	0.44580078
-0.22307433	-26.105017	0.44677734
-0.20820272	-26.109282	0.44775391
-0.20820272	-26.105017	0.44873047
-0.20820272	-26.109282	0.44970703
-0.20820272	-26.100754	0.45068359
-0.19333109	-26.105017	0.45166016
-0.20820272	-26.100754	0.45263672
-0.20820272	-26.105017	0.45361328
-0.22307433	-26.105017	0.45458984
-0.20820272	-26.105017	0.45556641
-0.22307433	-26.105017	0.45654297
-0.23794594	-26.109282	0.45751953
-0.22307433	-26.109282	0.45849609
-0.22307433	-26.105017	0.45947266
-0.23794594	-26.113544	0.46044922
-0.23794594	-26.105017	0.46142578
-0.23794594	-26.100754	0.46240234
-0.23794594	-26.109282	0.46337891
-0.20820272	-26.109282	0.46435547
-0.20820272	-26.105017	0.46533203
-0.22307433	-26.100754	0.46630859
-0.20820272	-26.105017	0.46728516
-0.22307433	-26.105017	0.46826172
-0.23794594	-26.109282	0.46923828
-0.23794594	-26.109282	0.47021484
-0.23794594	-26.105017	0.47119141
-0.23794594	-26.109282	0.47216797
-0.23794594	-26.105017	0.47314453
-0.23794594	-26.109282	0.47412109
-0.22307433	-26.105017	0.47509766
-0.25281757	-26.105017	0.47607422
-0.23794594	-26.109282	0.47705078
-0.23794594	-26.105017	0.47802734
-0.23794594	-26.105017	0.47900391
-0.23794594	-26.105017	0.47998047
-0.23794594	-26.109282	0.48095703
-0.23794594	-26.105017	0.48193359
-0.22307433	-26.105017	0.48291016
-0.23794594	-26.109282	0.48388672
-0.22307433	-26.109282	0.48486328
-0.23794594	-26.105017	0.48583984
-0.25281757	-26.105017	0.48681641
-0.23794594	-26.109282	0.48779297
-0.23794594	-26.109282	0.48876953
-0.23794594	-26.105017	0.48974609
-0.25281757	-26.105017	0.49072266
-0.25281757	-26.109282	0.49169922
-0.23794594	-26.113544	0.49267578
-0.26768917	-26.109282	0.49365234
-0.26768917	-26.109282	0.49462891
-0.26768917	-26.109282	0.49560547
-0.26768917	-26.109282	0.49658203
-0.26768917	-26.109282	0.49755859
-0.26768917	-26.109282	0.49853516
-0.25281757	-26.109282	0.49951172
-0.26768917	-26.105017	0.50048828
-0.26768917	-26.105017	0.50146484
-0.26768917	-26.109282	0.50244141
-0.29743242	-26.113544	0.50341797
-0.2825608	-26.109282	0.50439453
-0.2825608	-26.113544	0.50537109
-0.29743242	-26.105017	0.50634766
-0.29743242	-26.109282	0.50732422
-0.29743242	-26.105017	0.50830078
-0.29743242	-26.105017	0.50927734
-0.32717565	-26.113544	0.51025391
-0.31230402	-26.109282	0.51123047
-0.31230402	-26.117807	0.51220703
-0.31230402	-26.113544	0.51318359
-0.31230402	-26.113544	0.51416016
-0.29743242	-26.109282	0.51513672
-0.29743242	-26.109282	0.51611328
