MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.01001	Sec	6/3/2021 9:11:37 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.22307433	-26.105017	0.10791016
-0.22307433	-26.105017	0.10888672
-0.22307433	-26.109282	0.10986328
-0.20820272	-26.105017	0.11083984
-0.17845948	-26.105017	0.11181641
-0.19333109	-26.105017	0.11279297
-0.17845948	-26.105017	0.11376953
-0.22307433	-26.105017	0.11474609
-0.22307433	-26.105017	0.11572266
-0.19333109	-26.105017	0.11669922
-0.20820272	-26.105017	0.11767578
-0.19333109	-26.109282	0.11865234
-0.22307433	-26.105017	0.11962891
-0.20820272	-26.105017	0.12060547
-0.19333109	-26.105017	0.12158203
-0.23794594	-26.105017	0.12255859
-0.20820272	-26.109282	0.12353516
-0.20820272	-26.105017	0.12451172
-0.20820272	-26.100754	0.12548828
-0.19333109	-26.100754	0.12646484
-0.22307433	-26.105017	0.12744141
-0.17845948	-26.109282	0.12841797
-0.19333109	-26.109282	0.12939453
-0.17845948	-26.100754	0.13037109
-0.17845948	-26.105017	0.13134766
-0.19333109	-26.105017	0.13232422
-0.19333109	-26.109282	0.13330078
-0.19333109	-26.105017	0.13427734
-0.20820272	-26.100754	0.13525391
-0.20820272	-26.113544	0.13623047
-0.20820272	-26.109282	0.13720703
-0.20820272	-26.105017	0.13818359
-0.20820272	-26.105017	0.13916016
-0.22307433	-26.105017	0.14013672
-0.22307433	-26.109282	0.14111328
-0.20820272	-26.100754	0.14208984
-0.20820272	-26.109282	0.14306641
-0.20820272	-26.105017	0.14404297
-0.19333109	-26.105017	0.14501953
-0.20820272	-26.105017	0.14599609
-0.19333109	-26.109282	0.14697266
-0.19333109	-26.105017	0.14794922
-0.20820272	-26.109282	0.14892578
-0.19333109	-26.100754	0.14990234
-0.17845948	-26.105017	0.15087891
-0.20820272	-26.105017	0.15185547
-0.19333109	-26.113544	0.15283203
-0.20820272	-26.105017	0.15380859
-0.20820272	-26.109282	0.15478516
-0.20820272	-26.105017	0.15576172
-0.22307433	-26.105017	0.15673828
-0.20820272	-26.105017	0.15771484
-0.20820272	-26.109282	0.15869141
-0.19333109	-26.105017	0.15966797
-0.20820272	-26.105017	0.16064453
-0.20820272	-26.105017	0.16162109
-0.19333109	-26.105017	0.16259766
-0.20820272	-26.109282	0.16357422
-0.19333109	-26.105017	0.16455078
-0.20820272	-26.105017	0.16552734
-0.22307433	-26.105017	0.16650391
-0.19333109	-26.100754	0.16748047
-0.19333109	-26.109282	0.16845703
-0.22307433	-26.105017	0.16943359
-0.22307433	-26.100754	0.17041016
-0.20820272	-26.109282	0.17138672
-0.23794594	-26.105017	0.17236328
-0.23794594	-26.105017	0.17333984
-0.22307433	-26.100754	0.17431641
-0.22307433	-26.100754	0.17529297
-0.23794594	-26.105017	0.17626953
-0.22307433	-26.105017	0.17724609
-0.22307433	-26.105017	0.17822266
-0.22307433	-26.105017	0.17919922
-0.22307433	-26.105017	0.18017578
-0.23794594	-26.105017	0.18115234
-0.23794594	-26.105017	0.18212891
-0.20820272	-26.105017	0.18310547
-0.23794594	-26.105017	0.18408203
-0.22307433	-26.105017	0.18505859
-0.20820272	-26.100754	0.18603516
-0.23794594	-26.105017	0.18701172
-0.22307433	-26.109282	0.18798828
-0.22307433	-26.105017	0.18896484
-0.22307433	-26.105017	0.18994141
-0.25281757	-26.105017	0.19091797
-0.23794594	-26.105017	0.19189453
-0.22307433	-26.109282	0.19287109
-0.23794594	-26.109282	0.19384766
-0.23794594	-26.105017	0.19482422
-0.22307433	-26.113544	0.19580078
-0.20820272	-26.100754	0.19677734
-0.23794594	-26.109282	0.19775391
-0.23794594	-26.109282	0.19873047
-0.25281757	-26.109282	0.19970703
-0.25281757	-26.105017	0.20068359
-0.25281757	-26.105017	0.20166016
-0.23794594	-26.105017	0.20263672
-0.25281757	-26.109282	0.20361328
-0.26768917	-26.109282	0.20458984
-0.25281757	-26.105017	0.20556641
-0.26768917	-26.109282	0.20654297
-0.26768917	-26.109282	0.20751953
-0.26768917	-26.105017	0.20849609
-0.25281757	-26.109282	0.20947266
-0.26768917	-26.109282	0.21044922
-0.2825608	-26.109282	0.21142578
-0.2825608	-26.105017	0.21240234
-0.25281757	-26.109282	0.21337891
-0.26768917	-26.109282	0.21435547
-0.26768917	-26.109282	0.21533203
-0.26768917	-26.109282	0.21630859
-0.29743242	-26.113544	0.21728516
-0.26768917	-26.113544	0.21826172
-0.29743242	-26.109282	0.21923828
-0.29743242	-26.113544	0.22021484
-0.31230402	-26.109282	0.22119141
-0.31230402	-26.109282	0.22216797
-0.32717565	-26.109282	0.22314453
-0.32717565	-26.109282	0.22412109
-0.32717565	-26.113544	0.22509766
-0.32717565	-26.109282	0.22607422
-0.34204724	-26.113544	0.22705078
-0.34204724	-26.117807	0.22802734
-0.35691887	-26.109282	0.22900391
-0.35691887	-26.113544	0.22998047
-0.35691887	-26.105017	0.23095703
-0.3866621	-26.109282	0.23193359
-0.3866621	-26.113544	0.23291016
-0.40153372	-26.113544	0.23388672
-0.40153372	-26.113544	0.23486328
-0.41640532	-26.117807	0.23583984
-0.40153372	-26.117807	0.23681641
-0.41640532	-26.109282	0.23779297
-0.44614857	-26.113544	0.23876953
-0.4758918	-26.12207	0.23974609
-0.49076343	-26.12207	0.24072266
-0.49076343	-26.117807	0.24169922
-0.49076343	-26.113544	0.24267578
-0.49076343	-26.109282	0.24365234
-0.50563502	-26.12207	0.24462891
-0.50563502	-26.117807	0.24560547
-0.52050662	-26.12207	0.24658203
-0.55024987	-26.117807	0.24755859
-0.55024987	-26.12207	0.24853516
-0.56512147	-26.113544	0.24951172
-0.57999313	-26.117807	0.25048828
-0.60973632	-26.12207	0.25146484
-0.60973632	-26.117807	0.25244141
-0.63947958	-26.113544	0.25341797
-0.63947958	-26.117807	0.25439453
-0.66922277	-26.117807	0.25537109
-0.69896603	-26.117807	0.25634766
-0.69896603	-26.12207	0.25732422
-0.72870928	-26.126335	0.25830078
-0.71383762	-26.126335	0.25927734
-0.74358088	-26.12207	0.26025391
-0.77332413	-26.12207	0.26123047
-0.75845248	-26.117807	0.26220703
-0.78819573	-26.113544	0.26318359
-0.81793898	-26.117807	0.26416016
-0.83281058	-26.12207	0.26513672
-0.83281058	-26.126335	0.26611328
-0.87742543	-26.12207	0.26708984
-0.89229703	-26.12207	0.26806641
-0.92204028	-26.12207	0.26904297
-0.93691188	-26.12207	0.27001953
-0.95178348	-26.117807	0.27099609
-0.96665514	-26.12207	0.27197266
-0.99639833	-26.12207	0.27294922
-0.99639833	-26.12207	0.27392578
-0.99639833	-26.12207	0.27490234
-1.0410132	-26.126335	0.27587891
-1.0261415	-26.117807	0.27685547
-1.0558848	-26.12207	0.27783203
-1.085628	-26.126335	0.27880859
-1.1004996	-26.126335	0.27978516
-1.1004996	-26.117807	0.28076172
-1.1302429	-26.12207	0.28173828
-1.1599861	-26.12207	0.28271484
-1.1451145	-26.126335	0.28369141
-1.1748577	-26.117807	0.28466797
-1.1897293	-26.126335	0.28564453
-1.2194725	-26.126335	0.28662109
-1.2046009	-26.12207	0.28759766
-1.2194725	-26.12207	0.28857422
-1.2640874	-26.12207	0.28955078
-1.2938306	-26.126335	0.29052734
-1.2640874	-26.126335	0.29150391
-1.2938306	-26.12207	0.29248047
-1.278959	-26.12207	0.29345703
-1.3235739	-26.130598	0.29443359
-1.3235739	-26.126335	0.29541016
-1.3235739	-26.126335	0.29638672
-1.3384455	-26.126335	0.29736328
-1.3681887	-26.126335	0.29833984
-1.4128035	-26.126335	0.29931641
-1.3979319	-26.126335	0.30029297
-1.4276752	-26.126335	0.30126953
-1.4425468	-26.130598	0.30224609
-1.4574184	-26.130598	0.30322266
-1.4574184	-26.12207	0.30419922
-1.4871616	-26.12207	0.30517578
-1.4871616	-26.126335	0.30615234
-1.516905	-26.126335	0.30712891
-1.5020332	-26.130598	0.30810547
-1.516905	-26.130598	0.30908203
-1.5020332	-26.12207	0.31005859
-1.5466481	-26.130598	0.31103516
-1.5466481	-26.126335	0.31201172
-1.5466481	-26.12207	0.31298828
-1.5615197	-26.12207	0.31396484
-1.5912629	-26.130598	0.31494141
-1.5615197	-26.126335	0.31591797
-1.5912629	-26.12207	0.31689453
-1.5912629	-26.12207	0.31787109
-1.5912629	-26.126335	0.31884766
-1.5912629	-26.126335	0.31982422
-1.6061345	-26.126335	0.32080078
-1.6210063	-26.126335	0.32177734
-1.6358778	-26.126335	0.32275391
-1.6507494	-26.126335	0.32373047
-1.665621	-26.12207	0.32470703
-1.665621	-26.12207	0.32568359
-1.6804926	-26.130598	0.32666016
-1.6804926	-26.12207	0.32763672
-1.6804926	-26.130598	0.32861328
-1.6953642	-26.134861	0.32958984
-1.7251076	-26.130598	0.33056641
-1.7251076	-26.126335	0.33154297
-1.7251076	-26.12207	0.33251953
-1.7251076	-26.130598	0.33349609
-1.7548507	-26.130598	0.33447266
-1.7697223	-26.126335	0.33544922
-1.7845939	-26.130598	0.33642578
-1.7994655	-26.126335	0.33740234
-1.7994655	-26.126335	0.33837891
-1.7994655	-26.126335	0.33935547
-1.8143373	-26.126335	0.34033203
-1.8292089	-26.12207	0.34130859
-1.8440804	-26.130598	0.34228516
-1.8440804	-26.130598	0.34326172
-1.8292089	-26.126335	0.34423828
-1.8440804	-26.130598	0.34521484
-1.8440804	-26.126335	0.34619141
-1.8440804	-26.126335	0.34716797
-1.8738236	-26.126335	0.34814453
-1.8886952	-26.130598	0.34912109
-1.8738236	-26.126335	0.35009766
-1.8738236	-26.126335	0.35107422
-1.8886952	-26.126335	0.35205078
-1.9184386	-26.130598	0.35302734
-1.903567	-26.130598	0.35400391
-1.903567	-26.134861	0.35498047
-1.9333102	-26.130598	0.35595703
-1.9333102	-26.130598	0.35693359
-1.9333102	-26.130598	0.35791016
-1.9333102	-26.126335	0.35888672
-1.9481817	-26.130598	0.35986328
-1.9481817	-26.130598	0.36083984
-1.9630533	-26.12207	0.36181641
-1.9779249	-26.126335	0.36279297
-1.9779249	-26.130598	0.36376953
-1.9779249	-26.126335	0.36474609
-1.9779249	-26.12207	0.36572266
-1.9927965	-26.130598	0.36669922
-1.9927965	-26.126335	0.36767578
-2.0076683	-26.130598	0.36865234
-2.0076683	-26.130598	0.36962891
-2.0076683	-26.130598	0.37060547
-2.0225399	-26.130598	0.37158203
-2.052283	-26.126335	0.37255859
-2.052283	-26.130598	0.37353516
-2.052283	-26.130598	0.37451172
-2.0374115	-26.130598	0.37548828
-2.0671546	-26.130598	0.37646484
-2.0820262	-26.130598	0.37744141
