MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8405762	Sec	6/3/2021 9:07:53 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.19333109	-26.105017	0.061767578
-0.20820272	-26.109282	0.062744141
-0.17845948	-26.109282	0.063720703
-0.19333109	-26.105017	0.064697266
-0.19333109	-26.105017	0.065673828
-0.19333109	-26.105017	0.066650391
-0.22307433	-26.109282	0.067626953
-0.19333109	-26.105017	0.068603516
-0.19333109	-26.100754	0.069580078
-0.17845948	-26.109282	0.070556641
-0.17845948	-26.109282	0.071533203
-0.20820272	-26.105017	0.072509766
-0.19333109	-26.100754	0.073486328
-0.19333109	-26.105017	0.074462891
-0.17845948	-26.109282	0.075439453
-0.19333109	-26.109282	0.076416016
-0.20820272	-26.105017	0.077392578
-0.19333109	-26.096491	0.078369141
-0.20820272	-26.105017	0.079345703
-0.22307433	-26.105017	0.080322266
-0.20820272	-26.109282	0.081298828
-0.19333109	-26.109282	0.082275391
-0.20820272	-26.105017	0.083251953
-0.19333109	-26.105017	0.084228516
-0.19333109	-26.109282	0.085205078
-0.22307433	-26.100754	0.086181641
-0.19333109	-26.105017	0.087158203
-0.19333109	-26.105017	0.088134766
-0.19333109	-26.105017	0.089111328
-0.17845948	-26.105017	0.090087891
-0.16358787	-26.105017	0.091064453
-0.17845948	-26.109282	0.092041016
-0.19333109	-26.109282	0.093017578
-0.19333109	-26.105017	0.093994141
-0.19333109	-26.105017	0.094970703
-0.20820272	-26.105017	0.095947266
-0.20820272	-26.109282	0.096923828
-0.17845948	-26.109282	0.097900391
-0.19333109	-26.105017	0.098876953
-0.19333109	-26.105017	0.099853516
-0.20820272	-26.105017	0.10083008
-0.20820272	-26.100754	0.10180664
-0.20820272	-26.109282	0.1027832
-0.19333109	-26.100754	0.10375977
-0.22307433	-26.109282	0.10473633
-0.19333109	-26.105017	0.10571289
-0.17845948	-26.105017	0.10668945
-0.19333109	-26.105017	0.10766602
-0.20820272	-26.109282	0.10864258
-0.19333109	-26.100754	0.10961914
-0.19333109	-26.100754	0.1105957
-0.19333109	-26.100754	0.11157227
-0.20820272	-26.105017	0.11254883
-0.19333109	-26.105017	0.11352539
-0.20820272	-26.109282	0.11450195
-0.20820272	-26.105017	0.11547852
-0.20820272	-26.109282	0.11645508
-0.20820272	-26.100754	0.11743164
-0.19333109	-26.109282	0.1184082
-0.22307433	-26.105017	0.11938477
-0.20820272	-26.109282	0.12036133
-0.20820272	-26.105017	0.12133789
-0.19333109	-26.109282	0.12231445
-0.22307433	-26.105017	0.12329102
-0.19333109	-26.105017	0.12426758
-0.20820272	-26.109282	0.12524414
-0.20820272	-26.105017	0.1262207
-0.22307433	-26.109282	0.12719727
-0.20820272	-26.105017	0.12817383
-0.22307433	-26.100754	0.12915039
-0.22307433	-26.105017	0.13012695
-0.22307433	-26.105017	0.13110352
-0.22307433	-26.109282	0.13208008
-0.23794594	-26.105017	0.13305664
-0.22307433	-26.100754	0.1340332
-0.20820272	-26.105017	0.13500977
-0.23794594	-26.100754	0.13598633
-0.22307433	-26.105017	0.13696289
-0.19333109	-26.109282	0.13793945
-0.22307433	-26.109282	0.13891602
-0.20820272	-26.105017	0.13989258
-0.22307433	-26.109282	0.14086914
-0.20820272	-26.109282	0.1418457
-0.20820272	-26.105017	0.14282227
-0.22307433	-26.100754	0.14379883
-0.22307433	-26.105017	0.14477539
-0.22307433	-26.105017	0.14575195
-0.20820272	-26.109282	0.14672852
-0.23794594	-26.109282	0.14770508
-0.23794594	-26.105017	0.14868164
-0.25281757	-26.105017	0.1496582
-0.25281757	-26.105017	0.15063477
-0.23794594	-26.105017	0.15161133
-0.25281757	-26.105017	0.15258789
