Time (s),Freq. (MHz),Force (kN)
0.0016249999996063025,0.0016249999996063025,-1.6937849367080027
0.004099999999603199,0.004099999999603199,-1.6940357019986998
0.006574999999600095,0.006574999999600095,-1.7178821699535203
0.009049999999596992,0.009049999999596992,-1.6884147898126431
0.011524999999593888,0.011524999999593888,-1.6411086552664504
0.013999999999590784,0.013999999999590784,-1.7064920170924598
0.01647499999958768,0.01647499999958768,-1.6867069634537384
0.018949999999584577,0.018949999999584577,-1.7055159992452977
0.021424999999581473,0.021424999999581473,-1.7402838692563374
0.02389999999957837,0.02389999999957837,-1.750298090996191
0.026374999999575266,0.026374999999575266,-1.7215559634117623
0.028849999999572162,0.028849999999572162,-1.7159350512257059
0.03132499999956906,0.03132499999956906,-1.719026184155553
0.033799999999565955,0.033799999999565955,-1.7074663959507799
0.03627499999956285,0.03627499999956285,-1.722699158119378
0.03874999999955975,0.03874999999955975,-1.6948519184351107
0.041224999999556644,0.041224999999556644,-1.736535501806413
0.04369999999955354,0.04369999999955354,-1.7199235305389404
0.04617499999955044,0.04617499999955044,-1.6915157566754602
0.04864999999954733,0.04864999999954733,-1.7181321157498086
0.05112499999954423,0.05112499999954423,-1.6968023151405764
0.053599999999541126,0.053599999999541126,-1.6767648572223324
0.05607499999953802,0.05607499999953802,-1.714716463031991
0.05854999999953492,0.05854999999953492,-1.7340081810334462
0.061024999999531815,0.061024999999531815,-1.6982651126696777
0.06349999999952871,0.06349999999952871,-1.6466877732374017
0.06597499999952561,0.06597499999952561,-1.6885385334691823
0.0684499999995225,0.0684499999995225,-1.642289546717128
0.0709249999995194,0.0709249999995194,-1.7347408090396141
0.0733999999995163,0.0733999999995163,-1.6783997485783806
0.07587499999951319,0.07587499999951319,-1.7017684512897904
0.07834999999951009,0.07834999999951009,-1.7467931133872363
0.08082499999950699,0.08082499999950699,-1.6822292459752974
0.08329999999950388,0.08329999999950388,-1.6827971556042378
0.08577499999950078,0.08577499999950078,-1.6472581413495924
0.08824999999949767,0.08824999999949767,-1.7108058356880815
0.09072499999949457,0.09072499999949457,-1.6727009844229908
0.09319999999949147,0.09319999999949147,-1.6574321645001808
0.09567499999948836,0.09567499999948836,-1.7068976668274227
0.09814999999948526,0.09814999999948526,-1.69411437346245
0.10062499999948216,0.10062499999948216,-1.765032600561022
0.10309999999947905,0.10309999999947905,-1.7283077778892146
0.10557499999947595,0.10557499999947595,-1.6603225212985722
0.10804999999947285,0.10804999999947285,-1.699001018653497
0.11052499999946974,0.11052499999946974,-1.6334529384502763
0.11299999999946664,0.11299999999946664,-1.6745718901702975
0.11547499999946353,0.11547499999946353,-1.7097454099162839
0.11794999999946043,0.11794999999946043,-1.674247370382319
0.12042499999945733,0.12042499999945733,-1.7030698084193234
0.12289999999945422,0.12289999999945422,-1.6909437495744357
0.12537499999945112,0.12537499999945112,-1.7070607462158087
0.12784999999944802,0.12784999999944802,-1.6783128821704945
0.1303249999994449,0.1303249999994449,-1.7363740614068448
0.1327999999994418,0.1327999999994418,-1.700535931691046
0.1352749999994387,0.1352749999994387,-1.7292862542196108
0.1377499999994356,0.1377499999994356,-1.6854842777879555
0.1402249999994325,0.1402249999994325,-1.6923221391788932
0.1426999999994294,0.1426999999994294,-1.6914256122899147
0.1451749999994263,0.1451749999994263,-1.735478354012275
0.1476499999994232,0.1476499999994232,-1.7006285345598422
0.15012499999942008,0.15012499999942008,-1.7545250431839265
0.15259999999941698,0.15259999999941698,-1.6933833844450996
0.15507499999941388,0.15507499999941388,-1.7068919303665129
0.15754999999941077,0.15754999999941077,-1.691995980402097
0.16002499999940767,0.16002499999940767,-1.7293714816386714
0.16249999999940457,0.16249999999940457,-1.7162628489913274
0.16497499999940146,0.16497499999940146,-1.7592453310089204
0.16744999999939836,0.16744999999939836,-1.6440449037520477
0.16992499999939525,0.16992499999939525,-1.683201985844792
0.17239999999939215,0.17239999999939215,-1.6815720114552204
0.17487499999938905,0.17487499999938905,-1.678071950812759
0.17734999999938594,0.17734999999938594,-1.6363449342375096
0.17982499999938284,0.17982499999938284,-1.6513285701042364
0.18229999999937974,0.18229999999937974,-1.698383939359724
0.18477499999937663,0.18477499999937663,-1.7292878932084363
0.18724999999937353,0.18724999999937353,-1.6552752552023575
0.18972499999937043,0.18972499999937043,-1.6626056327361527
0.19219999999936732,0.19219999999936732,-1.763891864336657
0.19467499999936422,0.19467499999936422,-1.8015836904170734
0.19714999999936111,0.19714999999936111,-1.6394811393601132
0.199624999999358,0.199624999999358,-1.6615460264587638
0.2020999999993549,0.2020999999993549,-1.7268466193489387
0.2045749999993518,0.2045749999993518,-1.6554424320628278
0.2070499999993487,0.2070499999993487,-1.6893973636150992
0.2095249999993456,0.2095249999993456,-1.7699200652465101
0.2119999999993425,0.2119999999993425,-1.6724166198613082
0.2144749999993394,0.2144749999993394,-1.7642188426078778
0.21694999999933628,0.21694999999933628,-1.725624753177581
0.21942499999933318,0.21942499999933318,-1.6968818060987356
0.22189999999933008,0.22189999999933008,-1.6994886178298776
0.22437499999932697,0.22437499999932697,-1.7319733764033203
0.22684999999932387,0.22684999999932387,-1.6316656211332123
0.22932499999932077,0.22932499999932077,-1.7264376916363326
0.23179999999931766,0.23179999999931766,-1.716748809178866
0.23427499999931456,0.23427499999931456,-1.690122616171548
0.23674999999931146,0.23674999999931146,-1.6591891605239182
0.23922499999930835,0.23922499999930835,-1.6916698216253012
0.24169999999930525,0.24169999999930525,-1.7064084286622165
0.24417499999930214,0.24417499999930214,-1.7217944362862554
0.24664999999929904,0.24664999999929904,-1.6444472755093515
0.24912499999929594,0.24912499999929594,-1.7210626277744963
0.25159999999929283,0.25159999999929283,-1.7314005498078955
0.25407499999928973,0.25407499999928973,-1.7327101018815645
0.2565499999992866,0.2565499999992866,-1.69126417189033
0.2590249999992835,0.2590249999992835,-1.7472028605942596
0.2614999999992804,0.2614999999992804,-1.6536100425529912
0.2639749999992773,0.2639749999992773,-1.7038819273836663
0.2664499999992742,0.2664499999992742,-1.7149590333785438
0.2689249999992711,0.2689249999992711,-1.7087743090356151
0.271399999999268,0.271399999999268,-1.6898866017803136
0.2738749999992649,0.2738749999992649,-1.65585545724751
0.2763499999992618,0.2763499999992618,-1.7004629966881895
0.2788249999992587,0.2788249999992587,-1.7029870394835134
0.2812999999992556,0.2812999999992556,-1.7704084839172833
0.2837749999992525,0.2837749999992525,-1.6773417812898255
0.2862499999992494,0.2862499999992494,-1.7041326926743716
0.2887249999992463,0.2887249999992463,-1.7530655236324846
0.2911999999992432,0.2911999999992432,-1.737916349894105
0.29367499999924007,0.29367499999924007,-1.726598312541484
0.29614999999923697,0.29614999999923697,-1.7243217570592304
0.29862499999923386,0.29862499999923386,-1.697288275328107
0.30109999999923076,0.30109999999923076,-1.7506209717953196
0.30357499999922766,0.30357499999922766,-1.7347449065116902
0.30604999999922455,0.30604999999922455,-1.731648037120941
0.30852499999922145,0.30852499999922145,-1.7346629570702887
0.31099999999921835,0.31099999999921835,-1.6148520542398914
0.31347499999921524,0.31347499999921524,-1.753552303314424
0.31594999999921214,0.31594999999921214,-1.6873560030296793
0.31842499999920904,0.31842499999920904,-1.7230146634687875
0.32089999999920593,0.32089999999920593,-1.7267663088963712
0.32337499999920283,0.32337499999920283,-1.7109680955820668
0.3258499999991997,0.3258499999991997,-1.6877641112478765
0.3283249999991966,0.3283249999991966,-1.77455594514686
0.3307999999991935,0.3307999999991935,-1.682227606986464
0.3332749999991904,0.3332749999991904,-1.7055135407620552
0.3357499999991873,0.3357499999991873,-1.6681396785143232
0.3382249999991842,0.3382249999991842,-1.723586670569812
0.3406999999991811,0.3406999999991811,-1.7208192379335185
0.343174999999178,0.343174999999178,-1.6827979750986546
0.3456499999991749,0.3456499999991749,-1.6895563455314333
0.3481249999991718,0.3481249999991718,-1.7077122442750001
0.3505999999991687,0.3505999999991687,-1.6658614840432195
0.3530749999991656,0.3530749999991656,-1.7194351118681672
0.3555499999991625,0.3555499999991625,-1.6381765042529453
0.3580249999991594,0.3580249999991594,-1.7003867837076898
0.3604999999991563,0.3604999999991563,-1.7344187477348942
0.36297499999915317,0.36297499999915317,-1.6807598924908858
0.36544999999915007,0.36544999999915007,-1.7144681562245203
0.36792499999914696,0.36792499999914696,-1.727410431505819
0.37039999999914386,0.37039999999914386,-1.7059200099914353
0.37287499999914075,0.37287499999914075,-1.6815769284217053
0.37534999999913765,0.37534999999913765,-1.6981044917645263
0.37782499999913455,0.37782499999913455,-1.7219566961802404
0.38029999999913144,0.38029999999913144,-1.7184541770545365
0.38277499999912834,0.38277499999912834,-1.736533043323179
0.38524999999912524,0.38524999999912524,-1.7368608410887922
0.38772499999912213,0.38772499999912213,-1.7091758612985102
0.39019999999911903,0.39019999999911903,-1.7401216093623442
0.3926749999991159,0.3926749999991159,-1.6830405454452237
0.3951499999991128,0.3951499999991128,-1.7239144683354175
0.3976249999991097,0.3976249999991097,-1.7307465932654778
0.4000999999991066,0.4000999999991066,-1.635774566125327
0.4025749999991035,0.4025749999991035,-1.567386118282956
0.4050499999991004,0.4050499999991004,-1.7086923595942218
0.4075249999990973,0.4075249999990973,-1.65609065214436
0.4099999999990942,0.4099999999990942,-1.7438593233848896
0.4124749999990911,0.4124749999990911,-1.697611975621677
0.414949999999088,0.414949999999088,-1.7287978355488376
0.4174249999990849,0.4174249999990849,-1.7244012480173811
0.4198999999990818,0.4198999999990818,-1.6732721720295904
0.4223749999990787,0.4223749999990787,-1.7090111429212904
0.4248499999990756,0.4248499999990756,-1.6326096786982225
0.4273249999990725,0.4273249999990725,-1.7257812766106724
0.42979999999906937,0.42979999999906937,-1.6556817244317457
0.43227499999906627,0.43227499999906627,-1.7209880537828142
0.43474999999906316,0.43474999999906316,-1.701603732912579
0.43722499999906006,0.43722499999906006,-1.6562922477702162
0.43969999999905696,0.43969999999905696,-1.6894776740676831
0.44217499999905385,0.44217499999905385,-1.6664334911442356
0.44464999999905075,0.44464999999905075,-1.7032296098300743
0.44712499999904765,0.44712499999904765,-1.7707297257275945
0.44959999999904454,0.44959999999904454,-1.7074655764563629
0.45207499999904144,0.45207499999904144,-1.7156047949768418
0.45454999999903833,0.45454999999903833,-1.6565864462648603
0.45702499999903523,0.45702499999903523,-1.707869587202484
0.4594999999990321,0.4594999999990321,-1.7498932607556446
0.461974999999029,0.461974999999029,-1.7015217834711613
0.4644499999990259,0.4644499999990259,-1.7234211326981594
0.4669249999990228,0.4669249999990228,-1.72693020777919
0.4693999999990197,0.4693999999990197,-1.6805968131024835
0.4718749999990166,0.4718749999990166,-1.61069967604383
0.4743499999990135,0.4743499999990135,-1.6832101807889361
0.4768249999990104,0.4768249999990104,-1.67204784737499
0.4792999999990073,0.4792999999990073,-1.6912584354294362
