Time (s),Freq. (MHz),Force (kN)
0.002299999999781477,0.002299999999781477,-2.539465475277759
0.004774999999781926,0.004774999999781926,-2.5966997846503115
0.007249999999782375,0.007249999999782375,-2.565676184617152
0.009724999999782824,0.009724999999782824,-2.560797734370225
0.012199999999783273,0.012199999999783273,-2.603139371756021
0.014674999999783722,0.014674999999783722,-2.542481214721515
0.01714999999978417,0.01714999999978417,-2.5276622972320237
0.01962499999978462,0.01962499999978462,-2.5261101748117776
0.02209999999978507,0.02209999999978507,-2.530179784072021
0.02457499999978552,0.02457499999978552,-2.5485036791704583
0.027049999999785967,0.027049999999785967,-2.7034881017468417
0.029524999999786417,0.029524999999786417,-2.5548555803738653
0.031999999999786866,0.031999999999786866,-2.608915987880761
0.034474999999787315,0.034474999999787315,-2.5526535988832775
0.036949999999787764,0.036949999999787764,-2.5687746929967106
0.03942499999978821,0.03942499999978821,-2.570319439967221
0.04189999999978866,0.04189999999978866,-2.5704022089030394
0.04437499999978911,0.04437499999978911,-2.5637208709451933
0.04684999999978956,0.04684999999978956,-2.5432097452556146
0.04932499999979001,0.04932499999979001,-2.5516816785081917
0.05179999999979046,0.05179999999979046,-2.5120263438116965
0.05427499999979091,0.05427499999979091,-2.581721885244502
0.056749999999791356,0.056749999999791356,-2.5590866300336694
0.059224999999791805,0.059224999999791805,-2.5950698102607563
0.061699999999792254,0.061699999999792254,-2.5563167389141332
0.0641749999997927,0.0641749999997927,-2.560225727269225
0.06664999999979315,0.06664999999979315,-2.593610290709306
0.0691249999997936,0.0691249999997936,-2.5732573274416444
0.07159999999979405,0.07159999999979405,-2.616245545920139
0.0740749999997945,0.0740749999997945,-2.533274194979527
0.07654999999979495,0.07654999999979495,-2.5706464182384425
0.0790249999997954,0.0790249999997954,-2.5936037347539953
0.08149999999979585,0.08149999999979585,-2.610337810689149
0.0839749999997963,0.0839749999997963,-2.5651099139770213
0.08644999999979674,0.08644999999979674,-2.5822086649264495
0.0889249999997972,0.0889249999997972,-2.602074848512164
0.09139999999979764,0.09139999999979764,-2.5642191235489444
0.09387499999979809,0.09387499999979809,-2.5641306181522245
0.09634999999979854,0.09634999999979854,-2.6009341122877903
0.09882499999979899,0.09882499999979899,-2.5409364677510045
0.10129999999979944,0.10129999999979944,-2.565354942806833
0.10377499999979989,0.10377499999979989,-2.580016517368832
0.10624999999980034,0.10624999999980034,-2.58766403924087
0.10872499999980079,0.10872499999980079,-2.5650296035244535
0.11119999999980124,0.11119999999980124,-2.6018330976600037
0.11367499999980168,0.11367499999980168,-2.548179159382488
0.11614999999980213,0.11614999999980213,-2.5823783002701624
0.11862499999980258,0.11862499999980258,-2.6122939438555166
0.12109999999980303,0.12109999999980303,-2.564956668521597
0.12357499999980348,0.12357499999980348,-2.538815616207417
0.12604999999980393,0.12604999999980393,-2.56763641525558
0.12852499999980438,0.12852499999980438,-2.571621616591171
0.13099999999980483,0.13099999999980483,-2.5854620577502825
0.13347499999980528,0.13347499999980528,-2.5633176796934807
0.13594999999980573,0.13594999999980573,-2.5504573538535835
0.13842499999980618,0.13842499999980618,-2.5822840584125406
0.14089999999980662,0.14089999999980662,-2.587666497724104
0.14337499999980707,0.14337499999980707,-2.5586793413098805
0.14584999999980752,0.14584999999980752,-2.5818030151914866
0.14832499999980797,0.14832499999980797,-2.5729287101816056
0.15079999999980842,0.15079999999980842,-2.5835911520029753
0.15327499999980887,0.15327499999980887,-2.530018343672445
0.15574999999980932,0.15574999999980932,-2.570323537439289
0.15822499999980977,0.15822499999980977,-2.566167061771168
0.16069999999981022,0.16069999999981022,-2.6573210644362133
0.16317499999981067,0.16317499999981067,-2.5877451691878544
0.16564999999981112,0.16564999999981112,-2.5583572800051524
0.16812499999981156,0.16812499999981156,-2.550292635476372
0.170599999999812,0.170599999999812,-2.5650320620076963
0.17307499999981246,0.17307499999981246,-2.5441898605748445
0.1755499999998129,0.1755499999998129,-2.52822610938888
0.17802499999981336,0.17802499999981336,-2.514873267406157
0.1804999999998138,0.1804999999998138,-2.5625858711817218
0.18297499999981426,0.18297499999981426,-2.5445094633963223
0.1854499999998147,0.1854499999998147,-2.5669808197243364
0.18792499999981516,0.18792499999981516,-2.5204155081284556
0.1903999999998156,0.1903999999998156,-2.5660088993492502
0.19287499999981605,0.19287499999981605,-2.5699178877043347
0.1953499999998165,0.1953499999998165,-2.563237369240889
0.19782499999981695,0.19782499999981695,-2.6198283754984186
0.2002999999998174,0.2002999999998174,-2.588480255677273
0.20277499999981785,0.20277499999981785,-2.557539424579916
0.2052499999998183,0.2052499999998183,-2.560797734370225
0.20772499999981875,0.20772499999981875,-2.504130515132204
