Time (s),Freq. (MHz),Force (kN)
0.0005249999957399609,0.0005249999957399609,-2.1930922297690776
0.0029999999957368573,0.0029999999957368573,-2.1997711092436973
0.005474999995733754,0.005474999995733754,-2.1952130813126733
0.00794999999573065,0.00794999999573065,-2.1721697178836425
0.010424999995727546,0.010424999995727546,-2.1943165544236947
0.012899999995724443,0.012899999995724443,-2.1559748692729364
0.015374999995721339,0.015374999995721339,-2.16468117792793
0.017849999995718235,0.017849999995718235,-2.198549243072324
0.02032499999571513,0.02032499999571513,-2.1981460518206033
0.022799999995712028,0.022799999995712028,-2.190246125669042
0.025274999995708924,0.025274999995708924,-2.221510657059961
0.02774999999570582,0.02774999999570582,-2.1871582707168624
0.030224999995702717,0.030224999995702717,-2.2193963614716683
0.03269999999569961,0.03269999999569961,-2.2118258720745625
0.03517499999569651,0.03517499999569651,-2.2135345179278763
0.037649999995693406,0.037649999995693406,-2.1624882108759036
0.0401249999956903,0.0401249999956903,-2.200020235545561
0.0425999999956872,0.0425999999956872,-2.1966799763138343
0.045074999995684095,0.045074999995684095,-2.1727433639734763
0.04754999999568099,0.04754999999568099,-2.2110907855851525
0.05002499999567789,0.05002499999567789,-2.1954597491313104
0.052499999995674784,0.052499999995674784,-2.1665561811473055
0.05497499999567168,0.05497499999567168,-2.2141007885679986
0.05744999999566858,0.05744999999566858,-2.183080466512475
0.05992499999566547,0.05992499999566547,-2.2199650905950254
0.06239999999566237,0.06239999999566237,-2.222816931155963
0.06487499999565927,0.06487499999565927,-2.16875488466025
0.06734999999565616,0.06734999999565616,-2.199290885517061
0.06982499999565306,0.06982499999565306,-2.205640328237201
0.07229999999564996,0.07229999999564996,-2.2114153053730985
0.07477499999564685,0.07477499999564685,-2.185443888402631
0.07724999999564375,0.07724999999564375,-2.202944191614946
0.07972499999564064,0.07972499999564064,-2.147096466790987
0.08219999999563754,0.08219999999563754,-2.2137795467576797
0.08467499999563444,0.08467499999563444,-2.170627429396374
0.08714999999563133,0.08714999999563133,-2.1856053288021995
0.08962499999562823,0.08962499999562823,-2.1864985777135346
0.09209999999562513,0.09209999999562513,-2.2069433243555596
0.09457499999562202,0.09457499999562202,-2.1424540309353106
0.09704999999561892,0.09704999999561892,-2.201079022328533
0.09952499999561581,0.09952499999561581,-2.1933470925318512
0.10199999999561271,0.10199999999561271,-2.1776308286589643
0.10447499999560961,0.10447499999560961,-2.1882105015445075
0.1069499999956065,0.1069499999956065,-2.217117347506156
0.1094249999956034,0.1094249999956034,-2.2338915786676137
0.1118999999956003,0.1118999999956003,-2.2453702369253863
0.11437499999559719,0.11437499999559719,-2.1849603866983425
0.11684999999559409,0.11684999999559409,-2.1788404024141017
0.11932499999559099,0.11932499999559099,-2.2001767589786447
0.12179999999558788,0.12179999999558788,-2.1764032260266886
0.12427499999558478,0.12427499999558478,-2.1973322938674427
0.12674999999558167,0.12674999999558167,-2.2003455748279483
0.12922499999557857,0.12922499999557857,-2.1692449423198568
0.13169999999557547,0.13169999999557547,-2.184544903030402
0.13417499999557236,0.13417499999557236,-2.1788494168526715
0.13664999999556926,0.13664999999556926,-2.1777144170891916
0.13912499999556616,0.13912499999556616,-2.1741315875109115
0.14159999999556305,0.14159999999556305,-2.1795033733950886
0.14407499999555995,0.14407499999555995,-2.205797671164709
0.14654999999555685,0.14654999999555685,-2.189024259497668
0.14902499999555374,0.14902499999555374,-2.2220793861833097
0.15149999999555064,0.15149999999555064,-2.1539343281819168
0.15397499999554753,0.15397499999554753,-2.2132935865701486
0.15644999999554443,0.15644999999554443,-2.233320391061006
0.15892499999554133,0.15892499999554133,-2.1731531111805156
0.16139999999553822,0.16139999999553822,-2.2008307155210787
0.16387499999553512,0.16387499999553512,-2.1869140613814597
0.16634999999553202,0.16634999999553202,-2.17079460625686
0.1688249999955289,0.1688249999955289,-2.226889818393857
0.1712999999955258,0.1712999999955258,-2.162566062845237
0.1737749999955227,0.1737749999955227,-2.208808493641981
0.1762499999955196,0.1762499999955196,-2.2360861847084745
0.1787249999955165,0.1787249999955165,-2.184147448239583
0.1811999999955134,0.1811999999955134,-2.193992034635716
0.1836749999955103,0.1836749999955103,-2.15996007060852
0.1861499999955072,0.1861499999955072,-2.217695091068082
0.18862499999550408,0.18862499999550408,-2.2242043351989813
0.19109999999550098,0.19109999999550098,-2.1962759655677133
0.19357499999549788,0.19357499999549788,-2.232917199809294
0.19604999999549477,0.19604999999549477,-2.1654121669452806
0.19852499999549167,0.19852499999549167,-2.2233872992681536
0.20099999999548857,0.20099999999548857,-2.1610188573914915
0.20347499999548546,0.20347499999548546,-2.2206198666318597
0.20594999999548236,0.20594999999548236,-2.203027780045173
0.20842499999547925,0.20842499999547925,-2.1965218138919256
0.21089999999547615,0.21089999999547615,-2.2007512245629033
0.21337499999547305,0.21337499999547305,-2.188045783167288
0.21584999999546994,0.21584999999546994,-2.1612663447045373
0.21832499999546684,0.21832499999546684,-2.165903863593729
0.22079999999546374,0.22079999999546374,-2.2140270340707335
0.22327499999546063,0.22327499999546063,-2.199364640014326
