Time (s),Freq. A (MHz),Freq. B (MHz),Freq. C (MHz),Freq. D (MHz),Force (kN)
4.4941828036826337e-13,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.686872033007309
0.002500000000448921,1.90673828125,1.79443359375,1.806640625,1.76513671875,-2.565514744217584
0.0050000000004484235,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5541163964123705
0.007500000000447926,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.578134958194146
0.010000000000447429,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6144033224773167
0.012500000000446931,1.90673828125,1.7919921875,1.806640625,1.76513671875,-2.5609517993200663
0.015000000000446434,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.590182345575276
0.017500000000445937,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6566679273881966
0.02000000000044544,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6834498243341813
0.022500000000444942,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5910821504419217
0.025000000000444444,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.5868445448268
0.027500000000443947,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.607683468282008
0.03000000000044345,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6259237749502184
0.03250000000044295,1.90673828125,1.79443359375,1.806640625,1.76513671875,-2.727583696003534
0.035000000000442455,1.90673828125,1.79443359375,1.806640625,1.76513671875,-2.6595959809296494
0.03750000000044196,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.550781054147145
0.04000000000044146,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6681465856459767
0.04250000000044096,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.6478755718197085
0.045000000000440465,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6608948795759404
0.04750000000043997,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5462951417245603
0.05000000000043947,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.62588689770159
0.05250000000043897,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.600440776650516
0.055000000000438476,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5507720397085842
0.05750000000043798,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5516702055863965
0.06000000000043748,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5964547558205076
0.06250000000043698,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.6724563067695306
0.06500000000043649,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6131429400684882
0.06750000000043599,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.663338611918672
0.07000000000043549,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.624100399878919
0.072500000000435,1.90673828125,1.79443359375,1.806640625,1.76513671875,-2.545644463159794
0.0750000000004345,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6115121461845083
0.077500000000434,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.569985905740706
0.0800000000004335,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6715638773526202
0.082500000000433,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6489245246697193
0.08500000000043251,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.59652523234013
0.08750000000043201,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5803320227182494
0.09000000000043151,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.5700022956289863
0.09250000000043102,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.5863569456504276
0.09500000000043052,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.7179702070321667
0.09750000000043002,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6450188142922944
0.10000000000042952,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.551589075639396
0.10250000000042903,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5913222623052405
0.10500000000042853,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6359404551733068
0.10750000000042803,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5662440942460925
0.11000000000042753,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6205560865381017
0.11250000000042704,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5822856974013826
0.11500000000042654,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.568688646083233
0.11750000000042604,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6492531419297576
0.12000000000042554,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5664063541400775
0.12250000000042505,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.6015774154028213
0.12500000000042455,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6670804234132857
0.12750000000042405,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5843180435482496
0.13000000000042355,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.610701666209007
0.13250000000042306,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.610295196979619
0.13500000000042256,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.693949186767149
0.13750000000042206,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.6586207825769126
0.14000000000042157,1.90673828125,1.79443359375,1.806640625,1.76513671875,-2.5900184466924654
0.14250000000042107,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.5820390295827376
0.14500000000042057,1.90673828125,1.79443359375,1.806640625,1.7626953125,-2.580249253782415
0.14750000000042007,1.90673828125,1.7919921875,1.806640625,1.7626953125,-2.6985104926758328
