MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8525391	Sec	6/3/2021 8:56:28 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.20820272	-26.105017	0.077636719
-0.20820272	-26.109282	0.078613281
-0.20820272	-26.105017	0.079589844
-0.20820272	-26.100754	0.080566406
-0.19333109	-26.105017	0.081542969
-0.17845948	-26.105017	0.082519531
-0.16358787	-26.105017	0.083496094
-0.17845948	-26.105017	0.084472656
-0.19333109	-26.100754	0.085449219
-0.19333109	-26.105017	0.086425781
-0.17845948	-26.100754	0.087402344
-0.19333109	-26.105017	0.088378906
-0.17845948	-26.105017	0.089355469
-0.19333109	-26.105017	0.090332031
-0.20820272	-26.109282	0.091308594
-0.19333109	-26.109282	0.092285156
-0.19333109	-26.105017	0.093261719
-0.19333109	-26.109282	0.094238281
-0.19333109	-26.105017	0.095214844
-0.20820272	-26.100754	0.096191406
-0.19333109	-26.109282	0.097167969
-0.17845948	-26.100754	0.098144531
-0.19333109	-26.100754	0.099121094
-0.17845948	-26.109282	0.10009766
-0.17845948	-26.105017	0.10107422
-0.19333109	-26.100754	0.10205078
-0.19333109	-26.105017	0.10302734
-0.19333109	-26.109282	0.10400391
-0.20820272	-26.105017	0.10498047
-0.19333109	-26.109282	0.10595703
-0.19333109	-26.105017	0.10693359
-0.20820272	-26.100754	0.10791016
-0.20820272	-26.100754	0.10888672
-0.20820272	-26.105017	0.10986328
-0.20820272	-26.105017	0.11083984
-0.19333109	-26.105017	0.11181641
-0.20820272	-26.105017	0.11279297
-0.19333109	-26.109282	0.11376953
-0.20820272	-26.109282	0.11474609
-0.19333109	-26.105017	0.11572266
-0.19333109	-26.105017	0.11669922
-0.19333109	-26.105017	0.11767578
-0.19333109	-26.109282	0.11865234
-0.20820272	-26.105017	0.11962891
-0.19333109	-26.105017	0.12060547
-0.22307433	-26.105017	0.12158203
-0.19333109	-26.109282	0.12255859
-0.20820272	-26.105017	0.12353516
-0.19333109	-26.100754	0.12451172
-0.19333109	-26.105017	0.12548828
-0.19333109	-26.109282	0.12646484
-0.19333109	-26.100754	0.12744141
-0.22307433	-26.100754	0.12841797
-0.19333109	-26.105017	0.12939453
-0.20820272	-26.105017	0.13037109
-0.20820272	-26.100754	0.13134766
-0.20820272	-26.105017	0.13232422
-0.19333109	-26.109282	0.13330078
-0.19333109	-26.105017	0.13427734
-0.20820272	-26.100754	0.13525391
-0.20820272	-26.100754	0.13623047
-0.20820272	-26.100754	0.13720703
-0.19333109	-26.105017	0.13818359
-0.20820272	-26.105017	0.13916016
-0.22307433	-26.105017	0.14013672
-0.19333109	-26.105017	0.14111328
-0.17845948	-26.100754	0.14208984
-0.19333109	-26.105017	0.14306641
-0.20820272	-26.100754	0.14404297
-0.22307433	-26.105017	0.14501953
-0.20820272	-26.100754	0.14599609
-0.20820272	-26.100754	0.14697266
-0.20820272	-26.105017	0.14794922
-0.20820272	-26.105017	0.14892578
-0.19333109	-26.105017	0.14990234
-0.19333109	-26.100754	0.15087891
-0.20820272	-26.100754	0.15185547
-0.20820272	-26.096491	0.15283203
-0.20820272	-26.100754	0.15380859
-0.19333109	-26.105017	0.15478516
-0.20820272	-26.100754	0.15576172
-0.22307433	-26.100754	0.15673828
-0.20820272	-26.100754	0.15771484
-0.23794594	-26.105017	0.15869141
-0.20820272	-26.109282	0.15966797
-0.22307433	-26.105017	0.16064453
-0.20820272	-26.105017	0.16162109
-0.22307433	-26.105017	0.16259766
-0.20820272	-26.100754	0.16357422
-0.22307433	-26.109282	0.16455078
-0.20820272	-26.105017	0.16552734
-0.20820272	-26.105017	0.16650391
-0.23794594	-26.100754	0.16748047
-0.20820272	-26.100754	0.16845703
-0.22307433	-26.109282	0.16943359
-0.22307433	-26.109282	0.17041016
-0.19333109	-26.100754	0.17138672
-0.20820272	-26.105017	0.17236328
-0.22307433	-26.109282	0.17333984
-0.23794594	-26.105017	0.17431641
-0.23794594	-26.100754	0.17529297
-0.23794594	-26.113544	0.17626953
-0.22307433	-26.109282	0.17724609
-0.23794594	-26.100754	0.17822266
-0.25281757	-26.109282	0.17919922
-0.23794594	-26.109282	0.18017578
-0.20820272	-26.100754	0.18115234
-0.23794594	-26.109282	0.18212891
-0.23794594	-26.105017	0.18310547
-0.23794594	-26.109282	0.18408203
-0.23794594	-26.109282	0.18505859
-0.25281757	-26.109282	0.18603516
-0.22307433	-26.105017	0.18701172
-0.23794594	-26.109282	0.18798828
-0.23794594	-26.105017	0.18896484
-0.22307433	-26.105017	0.18994141
-0.23794594	-26.109282	0.19091797
-0.23794594	-26.109282	0.19189453
-0.23794594	-26.109282	0.19287109
-0.23794594	-26.100754	0.19384766
-0.26768917	-26.105017	0.19482422
-0.23794594	-26.096491	0.19580078
-0.25281757	-26.109282	0.19677734
-0.20820272	-26.109282	0.19775391
-0.25281757	-26.109282	0.19873047
-0.25281757	-26.105017	0.19970703
-0.22307433	-26.109282	0.20068359
-0.25281757	-26.105017	0.20166016
-0.23794594	-26.105017	0.20263672
-0.23794594	-26.105017	0.20361328
-0.23794594	-26.105017	0.20458984
-0.25281757	-26.105017	0.20556641
-0.23794594	-26.100754	0.20654297
-0.23794594	-26.109282	0.20751953
-0.23794594	-26.105017	0.20849609
-0.2825608	-26.109282	0.20947266
-0.2825608	-26.109282	0.21044922
-0.2825608	-26.109282	0.21142578
-0.26768917	-26.105017	0.21240234
-0.26768917	-26.105017	0.21337891
-0.26768917	-26.109282	0.21435547
-0.26768917	-26.105017	0.21533203
-0.25281757	-26.105017	0.21630859
-0.2825608	-26.105017	0.21728516
-0.29743242	-26.109282	0.21826172
-0.2825608	-26.105017	0.21923828
-0.2825608	-26.113544	0.22021484
-0.2825608	-26.105017	0.22119141
-0.29743242	-26.113544	0.22216797
-0.26768917	-26.109282	0.22314453
-0.29743242	-26.109282	0.22412109
-0.29743242	-26.105017	0.22509766
-0.29743242	-26.109282	0.22607422
-0.29743242	-26.109282	0.22705078
-0.29743242	-26.100754	0.22802734
-0.2825608	-26.109282	0.22900391
-0.31230402	-26.109282	0.22998047
-0.31230402	-26.113544	0.23095703
-0.31230402	-26.109282	0.23193359
-0.31230402	-26.113544	0.23291016
-0.31230402	-26.117807	0.23388672
-0.31230402	-26.109282	0.23486328
-0.32717565	-26.109282	0.23583984
